"EUPH code",Name,English,Definition,Parent
3506,"[F99_02_10] MANDESTROBIN",MANDESTROBIN,"Substance MANDESTROBIN (code F99_02_10) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3038
3507,"[F99_02_11] FLUOPYRAM",FLUOPYRAM,"Substance FLUOPYRAM (code F99_02_11) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3038
3508,"[F99_03_01] BENALAXYL",BENALAXYL,"Substance BENALAXYL (code F99_03_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3039
3509,"[F99_03_02] BOSCALID",BOSCALID,"Substance BOSCALID (code F99_03_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3039
3510,"[F99_03_03] CARBOXIN",CARBOXIN,"Substance CARBOXIN (code F99_03_03) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3039
3511,"[F99_03_04] FENHEXAMID",FENHEXAMID,"Substance FENHEXAMID (code F99_03_04) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3039
3512,"[F99_03_05] FLUTOLANIL",FLUTOLANIL,"Substance FLUTOLANIL (code F99_03_05) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3039
3513,"[F99_03_06] METALAXYL-M",METALAXYL-M,"Substance METALAXYL-M (code F99_03_06) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3039
3514,"[F99_03_07] METALAXYL",METALAXYL,"Substance METALAXYL (code F99_03_07) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3039
3515,"[F99_03_08] BENALAXYL-M",BENALAXYL-M,"Substance BENALAXYL-M (code F99_03_08) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3039
3516,"[F99_03_09] BIXAFEN",BIXAFEN,"Substance BIXAFEN (code F99_03_09) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3039
3517,"[F99_03_12] ISOPYRAZAM",ISOPYRAZAM,"Substance ISOPYRAZAM (code F99_03_12) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3039
3518,"[F99_03_13] FLUXAPYROXAD",FLUXAPYROXAD,"Substance FLUXAPYROXAD (code F99_03_13) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3039
3519,"[F99_03_14] PENFLUFEN",PENFLUFEN,"Substance PENFLUFEN (code F99_03_14) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3039
3520,"[F99_03_15] SEDAXANE",SEDAXANE,"Substance SEDAXANE (code F99_03_15) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3039
3521,"[F99_05_01] CHLOROTHALONIL",CHLOROTHALONIL,"Substance CHLOROTHALONIL (code F99_05_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3040
3522,"[F99_05_03] 2,5-DICHLOROBENZOIC ACID METHYLESTER","2,5-DICHLOROBENZOIC ACID METHYLESTER","Substance 2,5-DICHLOROBENZOIC ACID METHYLESTER (code F99_05_03) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3040
3523,"[F99_06_01] IPRODIONE",IPRODIONE,"Substance IPRODIONE (code F99_06_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3041
3524,"[F99_07_01] FLUAZINAM",FLUAZINAM,"Substance FLUAZINAM (code F99_07_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3042
3525,"[F99_08_02] MEPTYLDINOCAP",MEPTYLDINOCAP,"Substance MEPTYLDINOCAP (code F99_08_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3043
3526,"[F99_09_01] FOSETYL-AL",FOSETYL-AL,"Substance FOSETYL-AL (code F99_09_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3044
3527,"[F99_09_02] TOLCLOFOS-METHYL",TOLCLOFOS-METHYL,"Substance TOLCLOFOS-METHYL (code F99_09_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3044
3528,"[F99_10_01] FAMOXADONE",FAMOXADONE,"Substance FAMOXADONE (code F99_10_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3045
3529,"[F99_10_02] HYMEXAZOL",HYMEXAZOL,"Substance HYMEXAZOL (code F99_10_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3045
3530,"[F99_11_01] FLUDIOXONIL",FLUDIOXONIL,"Substance FLUDIOXONIL (code F99_11_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3046
3531,"[F99_12_01] CAPTAN",CAPTAN,"Substance CAPTAN (code F99_12_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3047
3532,"[F99_12_02] FOLPET",FOLPET,"Substance FOLPET (code F99_12_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3047
3533,"[F99_13_01] BUPIRIMATE",BUPIRIMATE,"Substance BUPIRIMATE (code F99_13_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3048
3534,"[F99_13_02] CYPRODINIL",CYPRODINIL,"Substance CYPRODINIL (code F99_13_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3048
3535,"[F99_13_03] MEPANIPYRIM",MEPANIPYRIM,"Substance MEPANIPYRIM (code F99_13_03) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3048
3536,"[F99_13_04] PYRIMETHANIL",PYRIMETHANIL,"Substance PYRIMETHANIL (code F99_13_04) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3048
3537,"[F99_14_01] 8-HYDROXYQUINOLINE SULFATE (8-HYDROXYQUINOLINE INCL. OXYQUINOLEINE)","8-HYDROXYQUINOLINE SULFATE (8-HYDROXYQUINOLINE INCL. OXYQUINOLEINE)","Substance 8-HYDROXYQUINOLINE SULFATE (8-HYDROXYQUINOLINE INCL. OXYQUINOLEINE) (code F99_14_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3049
3538,"[F99_14_02] QUINOXYFEN",QUINOXYFEN,"Substance QUINOXYFEN (code F99_14_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3049
3539,"[F99_15_01] DITHIANON",DITHIANON,"Substance DITHIANON (code F99_15_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3050
3540,"[F99_16_01] AZOXYSTROBIN",AZOXYSTROBIN,"Substance AZOXYSTROBIN (code F99_16_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3051
3541,"[F99_16_02] DIMOXYSTROBIN",DIMOXYSTROBIN,"Substance DIMOXYSTROBIN (code F99_16_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3051
3542,"[F99_16_03] FLUOXASTROBIN",FLUOXASTROBIN,"Substance FLUOXASTROBIN (code F99_16_03) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3051
3543,"[F99_16_04] KRESOXIM-METHYL",KRESOXIM-METHYL,"Substance KRESOXIM-METHYL (code F99_16_04) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3051
3544,"[F99_16_05] PICOXYSTROBINE",PICOXYSTROBINE,"Substance PICOXYSTROBINE (code F99_16_05) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3051
3545,"[F99_16_06] PYRACLOSTROBINE",PYRACLOSTROBINE,"Substance PYRACLOSTROBINE (code F99_16_06) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3051
3546,"[F99_16_07] TRIFLOXYSTROBINE",TRIFLOXYSTROBINE,"Substance TRIFLOXYSTROBINE (code F99_16_07) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3051
3547,"[F99_17_01] PENCYCURON",PENCYCURON,"Substance PENCYCURON (code F99_17_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3052
3548,"[F99_17_02] UREA",UREA,"Substance UREA (code F99_17_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3052
3549,"[F99_99_01] 2-PHENYLPHENOL",2-PHENYLPHENOL,"Substance 2-PHENYLPHENOL (code F99_99_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3550,"[F99_99_02] ACIBENZOLAR -S-METHYL","ACIBENZOLAR -S-METHYL","Substance ACIBENZOLAR -S-METHYL (code F99_99_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3551,"[F99_99_04] ASCORBIC ACID","ASCORBIC ACID","Substance ASCORBIC ACID (code F99_99_04) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3552,"[F99_99_05] BENZOIC ACID","BENZOIC ACID","Substance BENZOIC ACID (code F99_99_05) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3553,"[F99_99_06] FENPROPIDIN",FENPROPIDIN,"Substance FENPROPIDIN (code F99_99_06) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3554,"[F99_99_08] METRAFENONE",METRAFENONE,"Substance METRAFENONE (code F99_99_08) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3555,"[F99_99_09] PYRIOFENONE",PYRIOFENONE,"Substance PYRIOFENONE (code F99_99_09) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3556,"[F99_99_10] SPIROXAMINE",SPIROXAMINE,"Substance SPIROXAMINE (code F99_99_10) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3557,"[F99_99_12] PROQUINAZID",PROQUINAZID,"Substance PROQUINAZID (code F99_99_12) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3558,"[F99_99_13] VALIFENALATE (FORMERLY VALIPHENAL)","VALIFENALATE (FORMERLY VALIPHENAL)","Substance VALIFENALATE (FORMERLY VALIPHENAL) (code F99_99_13) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3559,"[F99_99_14] DIMETHYL DISULPHIDE","DIMETHYL DISULPHIDE","Substance DIMETHYL DISULPHIDE (code F99_99_14) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3560,"[F99_99_15] COS-OGA",COS-OGA,"Substance COS-OGA (code F99_99_15) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3561,"[F99_99_16] FLUTIANIL",FLUTIANIL,"Substance FLUTIANIL (code F99_99_16) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3562,"[F99_99_17] FENPYRAZAMINE",FENPYRAZAMINE,"Substance FENPYRAZAMINE (code F99_99_17) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3563,"[F99_99_99] OTHER FUNGICIDES, NOT CLASSIFIED","OTHER FUNGICIDES, NOT CLASSIFIED","Substance OTHER FUNGICIDES, NOT CLASSIFIED (code F99_99_99) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3053
3564,"[H01_01_01] 2,4-D","2,4-D","Substance 2,4-D (code H01_01_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3056
3565,"[H01_01_02] 2,4-DB","2,4-DB","Substance 2,4-DB (code H01_01_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3056
3566,"[H01_01_03] DICHLORPROP-P",DICHLORPROP-P,"Substance DICHLORPROP-P (code H01_01_03) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3056
3567,"[H01_01_04] MCPA",MCPA,"Substance MCPA (code H01_01_04) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3056
3568,"[H01_01_05] MCPB",MCPB,"Substance MCPB (code H01_01_05) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3056
3569,"[H01_01_06] MECOPROP",MECOPROP,"Substance MECOPROP (code H01_01_06) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3056
3570,"[H01_01_07] MECOPROP-P",MECOPROP-P,"Substance MECOPROP-P (code H01_01_07) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3056
3571,"[H01_99_99] OTHER HERBICIDES BASED ON PHENOXY-PHYTOHORMONES","OTHER HERBICIDES BASED ON PHENOXY-PHYTOHORMONES","Substance OTHER HERBICIDES BASED ON PHENOXY-PHYTOHORMONES (code H01_99_99) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3057
3572,"[H02_02_01] TERBUTHYLAZINE",TERBUTHYLAZINE,"Substance TERBUTHYLAZINE (code H02_02_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3059
3573,"[H02_03_01] METAMITRON",METAMITRON,"Substance METAMITRON (code H02_03_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3060
3574,"[H02_03_02] METRIBUZIN",METRIBUZIN,"Substance METRIBUZIN (code H02_03_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3060
3575,"[H02_99_99] OTHER HERBICIDES BASED ON TRIAZINES AND TRIAZINONES","OTHER HERBICIDES BASED ON TRIAZINES AND TRIAZINONES","Substance OTHER HERBICIDES BASED ON TRIAZINES AND TRIAZINONES (code H02_99_99) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3061
3576,"[H03_01_01] BEFLUBUTAMID",BEFLUBUTAMID,"Substance BEFLUBUTAMID (code H03_01_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3063
3577,"[H03_01_02] DIMETHENAMID-P",DIMETHENAMID-P,"Substance DIMETHENAMID-P (code H03_01_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3063
3578,"[H03_01_03] ISOXABEN",ISOXABEN,"Substance ISOXABEN (code H03_01_03) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3063
3579,"[H03_01_04] NAPROPAMIDE",NAPROPAMIDE,"Substance NAPROPAMIDE (code H03_01_04) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3063
3580,"[H03_01_05] PENOXSULAM",PENOXSULAM,"Substance PENOXSULAM (code H03_01_05) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3063
3581,"[H03_01_06] PETHOXAMIDE",PETHOXAMIDE,"Substance PETHOXAMIDE (code H03_01_06) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3063
3582,"[H03_01_07] PROPYZAMIDE",PROPYZAMIDE,"Substance PROPYZAMIDE (code H03_01_07) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3063
3583,"[H03_01_08] PYROXSULAM",PYROXSULAM,"Substance PYROXSULAM (code H03_01_08) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3063
3584,"[H03_02_01] DIFLUFENICAN",DIFLUFENICAN,"Substance DIFLUFENICAN (code H03_02_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3064
3585,"[H03_02_02] FLORASULAM",FLORASULAM,"Substance FLORASULAM (code H03_02_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3064
3586,"[H03_02_03] FLUFENACET",FLUFENACET,"Substance FLUFENACET (code H03_02_03) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3064
3587,"[H03_02_04] METAZACHLOR",METAZACHLOR,"Substance METAZACHLOR (code H03_02_04) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3064
3588,"[H03_02_05] METOSULAM",METOSULAM,"Substance METOSULAM (code H03_02_05) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3064
3589,"[H03_03_02] DIMETHACHLOR",DIMETHACHLOR,"Substance DIMETHACHLOR (code H03_03_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3065
3590,"[H03_03_04] S-METOLACHLOR",S-METOLACHLOR,"Substance S-METOLACHLOR (code H03_03_04) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3065
3591,"[H03_99_99] OTHER HERBICIDES BASED ON AMIDES AND ANILIDES","OTHER HERBICIDES BASED ON AMIDES AND ANILIDES","Substance OTHER HERBICIDES BASED ON AMIDES AND ANILIDES (code H03_99_99) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3066
3592,"[H04_01_01] CHLORPROPHAM",CHLORPROPHAM,"Substance CHLORPROPHAM (code H04_01_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3068
3593,"[H04_01_02] DESMEDIPHAM",DESMEDIPHAM,"Substance DESMEDIPHAM (code H04_01_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3068
3594,"[H04_01_03] PHENMEDIPHAM",PHENMEDIPHAM,"Substance PHENMEDIPHAM (code H04_01_03) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3068
3595,"[H04_02_02] CARBETAMIDE",CARBETAMIDE,"Substance CARBETAMIDE (code H04_02_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3069
3596,"[H04_99_99] OTHER HERBICIDES BASED ON CARBAMATES AND BIS-CARBAMATES","OTHER HERBICIDES BASED ON CARBAMATES AND BIS-CARBAMATES","Substance OTHER HERBICIDES BASED ON CARBAMATES AND BIS-CARBAMATES (code H04_99_99) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3070
3597,"[H05_01_01] BENFLURALIN",BENFLURALIN,"Substance BENFLURALIN (code H05_01_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3072
3598,"[H05_01_02] PENDIMETHALIN",PENDIMETHALIN,"Substance PENDIMETHALIN (code H05_01_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3072
3599,"[H05_01_03] ORYZALIN",ORYZALIN,"Substance ORYZALIN (code H05_01_03) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3072
3600,"[H05_99_99] OTHER HERBICIDES BASED ON DINITROANILINE DERIVATIVES","OTHER HERBICIDES BASED ON DINITROANILINE DERIVATIVES","Substance OTHER HERBICIDES BASED ON DINITROANILINE DERIVATIVES (code H05_99_99) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3073
3601,"[H06_01_01] AMIDOSULFURON",AMIDOSULFURON,"Substance AMIDOSULFURON (code H06_01_01) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3602,"[H06_01_02] AZIMSULFURON",AZIMSULFURON,"Substance AZIMSULFURON (code H06_01_02) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3603,"[H06_01_03] BENSULFURON-METHYL",BENSULFURON-METHYL,"Substance BENSULFURON-METHYL (code H06_01_03) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3604,"[H06_01_04] CHLORSULFURON",CHLORSULFURON,"Substance CHLORSULFURON (code H06_01_04) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3605,"[H06_01_06] FLAZASULFURON",FLAZASULFURON,"Substance FLAZASULFURON (code H06_01_06) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3606,"[H06_01_07] FLUPYRSULFURON-METHYL",FLUPYRSULFURON-METHYL,"Substance FLUPYRSULFURON-METHYL (code H06_01_07) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3607,"[H06_01_08] FORAMSULFURON",FORAMSULFURON,"Substance FORAMSULFURON (code H06_01_08) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3608,"[H06_01_09] IMAZOSULFURON",IMAZOSULFURON,"Substance IMAZOSULFURON (code H06_01_09) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3609,"[H06_01_10] IODOSULFURON-METHYL-SODIUM",IODOSULFURON-METHYL-SODIUM,"Substance IODOSULFURON-METHYL-SODIUM (code H06_01_10) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3610,"[H06_01_11] MESOSULFURON-METHYL",MESOSULFURON-METHYL,"Substance MESOSULFURON-METHYL (code H06_01_11) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3611,"[H06_01_12] METSULFURON-METHYL",METSULFURON-METHYL,"Substance METSULFURON-METHYL (code H06_01_12) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3612,"[H06_01_13] NICOSULFURON",NICOSULFURON,"Substance NICOSULFURON (code H06_01_13) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3613,"[H06_01_14] OXASULFURON",OXASULFURON,"Substance OXASULFURON (code H06_01_14) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3614,"[H06_01_15] PROSULFURON",PROSULFURON,"Substance PROSULFURON (code H06_01_15) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3615,"[H06_01_16] RIMSULFURON",RIMSULFURON,"Substance RIMSULFURON (code H06_01_16) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3616,"[H06_01_17] SULFOSULFURON",SULFOSULFURON,"Substance SULFOSULFURON (code H06_01_17) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3617,"[H06_01_18] THIFENSULFURON-METHYL",THIFENSULFURON-METHYL,"Substance THIFENSULFURON-METHYL (code H06_01_18) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3618,"[H06_01_19] TRIASULFURON",TRIASULFURON,"Substance TRIASULFURON (code H06_01_19) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3619,"[H06_01_20] TRIBENURON-METHYL",TRIBENURON-METHYL,"Substance TRIBENURON-METHYL (code H06_01_20) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3620,"[H06_01_21] TRIFLUSULFURON",TRIFLUSULFURON,"Substance TRIFLUSULFURON (code H06_01_21) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
3621,"[H06_01_22] TRITOSULFURON",TRITOSULFURON,"Substance TRITOSULFURON (code H06_01_22) of pesticides according to the Harmonised Classification of Subastances, as contained in Annex III of Commission Regulation (EU) 2017/269 of 16 February 2017",3075
